CCF简称,全称,出版社,网址,领域,评级,DBLP简称
TON,IEEE/ACM Transactions on Networking,"IEEE, ACM",http://dblp.uni-trier.de/db/journals/ton/,计算机网络,A,ton
JSAC,IEEE Journal of Selected Areas in Communications,IEEE,http://dblp.uni-trier.de/db/journals/jsac/,计算机网络,A,jsac
TMC,IEEE Transactions on Mobile Computing,IEEE,http://dblp.uni-trier.de/db/journals/tmc/,计算机网络,A,tmc
TOIT,ACM Transactions on Internet Technology,ACM,http://dblp.uni-trier.de/db/journals/toit/,计算机网络,B,toit
TOMCCAP,"ACM Transactions on Multimedia Computing, Communications and Applications",ACM,http://dblp.uni-trier.de/db/journals/tomccap/,计算机网络,B,tomccap
TOSN,ACM Transactions on Sensor Networks,ACM,http://dblp.uni-trier.de/db/journals/tosn/,计算机网络,B,tosn
CN,Computer Networks,Elsevier,http://dblp.uni-trier.de/db/journals/cn/,计算机网络,B,cn
TOC,IEEE Transactions on Communications,IEEE,http://dblp.uni-trier.de/db/journals/tcom/,计算机网络,B,tcom
TWC,IEEE Transactions on Wireless Communications,IEEE,http://dblp.uni-trier.de/db/journals/twc/,计算机网络,B,twc
,Ad hoc Networks,Elsevier,http://dblp.uni-trier.de/db/journals/adhoc/,计算机网络,C,adhoc
CC,Computer Communications,Elsevier,http://dblp.uni-trier.de/db/journals/comcom/,计算机网络,C,comcom
TNSM,IEEE Transactions on Network and Service Management,IEEE,http://dblp.uni-trier.de/db/journals/tnsm/,计算机网络,C,tnsm
,IET Communications,IET,http://dblp.uni-trier.de/db/journals/iet-com/,计算机网络,C,iet-com
JNCA,Journal of Network and Computer Applications,Elsevier,http://dblp.uni-trier.de/db/journals/jnca/,计算机网络,C,jnca
MONET,Mobile Networks & Applications,Springer,http://dblp.uni-trier.de/db/journals/monet/,计算机网络,C,monet
,Networks,Wiley,http://dblp.uni-trier.de/db/journals/networks/,计算机网络,C,networks
PPNA,Peer-to-Peer Networking and Applications,Springer,http://dblp.uni-trier.de/db/journals/ppna/,计算机网络,C,ppna
WCMC,Wireless Communications & Mobile Computing,Wiley.,http://dblp.uni-trier.de/db/journals/wicomm/,计算机网络,C,wicomm
,Wireless Networks,Springer,http://dblp.uni-trier.de/db/journals/winet/,计算机网络,C,winet
MOBICOM,ACM International Conference on Mobile Computing and Networking,ACM,http://dblp.uni-trier.de/db/conf/mobicom/,计算机网络,A,mobicom
SIGCOMM,"ACM International Conference on the applications, technologies, architectures, and protocols for computer communication",ACM,http://dblp.uni-trier.de/db/conf/sigcomm/index.html,计算机网络,A,sigcomm
INFOCOM,IEEE International Conference on Computer Communications,IEEE,http://dblp.uni-trier.de/db/conf/infocom/,计算机网络,A,infocom
SenSys,ACM Conference on Embedded Networked Sensor Systems,ACM,http://dblp.uni-trier.de/db/conf/sensys/,计算机网络,B,sensys
CoNEXT,ACM International Conference on emerging Networking EXperiments and Technologies,ACM,http://dblp.uni-trier.de/db/conf/conext/,计算机网络,B,conext
SECON,IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks,IEEE,http://dblp.uni-trier.de/db/conf/secon/,计算机网络,B,secon
IPSN,International Conference on Information Processing in Sensor Networks,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ipsn/,计算机网络,B,ipsn
ICNP,International Conference on Network Protocols,IEEE,http://dblp.uni-trier.de/db/conf/icnp/,计算机网络,B,icnp
MobiHoc,International Symposium on Mobile Ad Hoc Networking and Computing,ACM/IEEE,http://dblp.uni-trier.de/db/conf/mobihoc/,计算机网络,B,mobihoc
MobiSys,"International Conference on Mobile Systems, Applications, and Services",ACM,http://dblp.uni-trier.de/db/conf/mobisys/,计算机网络,B,mobisys
IWQoS,International Workshop on Quality of Service,IEEE,http://dblp.uni-trier.de/db/conf/iwqos/,计算机网络,B,iwqos
IMC,Internet Measurement Conference,ACM/USENIX,http://dblp.uni-trier.de/db/conf/imc/,计算机网络,B,imc
NOSSDAV,Network and Operating System Support for Digital Audio and Video,ACM,http://dblp.uni-trier.de/db/conf/nossdav/,计算机网络,B,nossdav
NSDI,Symposium on Network System Design and Implementation,USENIX,http://dblp.uni-trier.de/db/conf/nsdi/,计算机网络,B,nsdi
ANCS,Architectures for Networking and Communications Systems,ACM/IEEE,http://dblp.uni-trier.de/db/conf/ancs/,计算机网络,C,ancs
FORTE,Formal Techniques for Networked and Distributed Systems,Springer,http://dblp.uni-trier.de/db/conf/forte/,计算机网络,C,forte
LCN,IEEE Conference on Local Computer Networks,IEEE,http://dblp.uni-trier.de/db/conf/lcn/,计算机网络,C,lcn
Globecom,"IEEE Global Communications Conference, incorporating the Global Internet Symposium",IEEE,http://dblp.uni-trier.de/db/conf/globecom/,计算机网络,C,globecom
ICC,IEEE International Conference on Communications,IEEE,http://dblp.uni-trier.de/db/conf/icc/,计算机网络,C,icc
ICCCN,IEEE International Conference on Computer Communications and Networks,IEEE,http://dblp.uni-trier.de/db/conf/icccn/,计算机网络,C,icccn
MASS,IEEE International Conference on Mobile Ad hoc and Sensor Systems,IEEE,http://dblp.uni-trier.de/db/conf/mass/index.html,计算机网络,C,mass
P2P,IEEE International Conference on P2P Computing,IEEE,http://dblp.uni-trier.de/db/conf/p2p/,计算机网络,C,p2p
IPCCC,IEEE International Performance Computing and Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/ipccc/,计算机网络,C,ipccc
WoWMoM,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,IEEE,http://dblp.uni-trier.de/db/conf/wowmom/,计算机网络,C,wowmom
